[2020-08-18 23:20:02,822][INFO] Parameters: 25638992
[2020-08-18 23:20:02,846][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:22:20,476][INFO] Parameters: 25638992
[2020-08-18 23:22:20,504][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:23:21,586][INFO] Parameters: 25638992
[2020-08-18 23:23:21,613][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:39:31,023][INFO] [epoch:1/20, steps:1600/25432, lr:2.000e-04, loss:9.2014] 
[2020-08-18 23:39:51,642][INFO] [epoch:1/20, steps:1650/25432, lr:2.000e-04, loss:9.5688] 
[2020-08-18 23:40:12,279][INFO] [epoch:1/20, steps:1700/25432, lr:2.000e-04, loss:9.5122] 
[2020-08-18 23:40:33,411][INFO] [epoch:1/20, steps:1750/25432, lr:2.000e-04, loss:9.7838] 
[2020-08-18 23:40:54,030][INFO] [epoch:1/20, steps:1800/25432, lr:2.000e-04, loss:9.8223] 
[2020-08-18 23:41:14,573][INFO] [epoch:1/20, steps:1850/25432, lr:2.000e-04, loss:8.7018] 
[2020-08-18 23:41:35,663][INFO] [epoch:1/20, steps:1900/25432, lr:2.000e-04, loss:8.6375] 
[2020-08-18 23:41:56,410][INFO] [epoch:1/20, steps:1950/25432, lr:2.000e-04, loss:9.8889] 
[2020-08-18 23:42:17,197][INFO] [epoch:1/20, steps:2000/25432, lr:2.000e-04, loss:9.6631] 
[2020-08-18 23:42:37,767][INFO] [epoch:1/20, steps:2050/25432, lr:2.000e-04, loss:9.7001] 
[2020-08-18 23:42:58,911][INFO] [epoch:1/20, steps:2100/25432, lr:2.000e-04, loss:9.5387] 
[2020-08-18 23:43:19,588][INFO] [epoch:1/20, steps:2150/25432, lr:2.000e-04, loss:8.8715] 
[2020-08-18 23:43:40,277][INFO] [epoch:1/20, steps:2200/25432, lr:2.000e-04, loss:8.8086] 
[2020-08-18 23:44:01,495][INFO] [epoch:1/20, steps:2250/25432, lr:2.000e-04, loss:8.8402] 
[2020-08-18 23:44:22,173][INFO] [epoch:1/20, steps:2300/25432, lr:2.000e-04, loss:8.8425] 
[2020-08-18 23:44:42,833][INFO] [epoch:1/20, steps:2350/25432, lr:2.000e-04, loss:8.8741] 
[2020-08-18 23:45:04,051][INFO] [epoch:1/20, steps:2400/25432, lr:2.000e-04, loss:8.8265] 
[2020-08-18 23:45:24,772][INFO] [epoch:1/20, steps:2450/25432, lr:2.000e-04, loss:7.3979] 
[2020-08-18 23:45:45,434][INFO] [epoch:1/20, steps:2500/25432, lr:2.000e-04, loss:7.3097] 
[2020-08-18 23:47:07,622][INFO] [epoch:1 end, mean_acc:0.91365]
[2020-08-18 23:47:07,622][INFO] {'5_o_Clock_Shadow': 0.9369305884129461, 'Arched_Eyebrows': 0.8599184577439976, 'Attractive': 0.8083756983943222, 'Bags_Under_Eyes': 0.8452710524991192, 'Bald': 0.9901343937182262, 'Bangs': 0.9566114662505663, 'Big_Lips': 0.8208587104243217, 'Big_Nose': 0.827402224794886, 'Black_Hair': 0.9131725977752051, 'Blond_Hair': 0.9515779936578246, 'Blurry': 0.9629033069914934, 'Brown_Hair': 0.8508078723511351, 'Bushy_Eyebrows': 0.9070820959379876, 'Chubby': 0.9559067800875825, 'Double_Chin': 0.9648160265767353, 'Eyeglasses': 0.9957215482961695, 'Goatee': 0.9636583278804047, 'Gray_Hair': 0.9779533900437912, 'Heavy_Makeup': 0.9021492927971008, 'High_Cheekbones': 0.8786933105149243, 'Male': 0.9827855237328232, 'Mouth_Slightly_Open': 0.9389439774500428, 'Mustache': 0.955604771732018, 'Narrow_Eyes': 0.9355212160869784, 'No_Beard': 0.9597825539839936, 'Oval_Face': 0.7483263703629134, 'Pale_Skin': 0.9673327628731061, 'Pointy_Nose': 0.7613127296521871, 'Receding_Hairline': 0.9462928474354457, 'Rosy_Cheeks': 0.9423667388131072, 'Sideburns': 0.9662757336286304, 'Smiling': 0.9231388735088337, 'Straight_Hair': 0.840539588261942, 'Wavy_Hair': 0.8685760306035134, 'Wearing_Earrings': 0.9173503800271807, 'Wearing_Hat': 0.9876679921477828, 'Wearing_Lipstick': 0.9179543967383098, 'Wearing_Necklace': 0.886495193033674, 'Wearing_Necktie': 0.9568631398802033, 'Young': 0.8728041475814164}
[2020-08-18 23:47:10,822][INFO] [epoch:2/20, steps:2550/25432, lr:2.000e-04, loss:8.3487] 
[2020-08-18 23:47:31,803][INFO] [epoch:2/20, steps:2600/25432, lr:2.000e-04, loss:8.1457] 
[2020-08-18 23:47:52,396][INFO] [epoch:2/20, steps:2650/25432, lr:2.000e-04, loss:8.6641] 
[2020-08-18 23:48:12,980][INFO] [epoch:2/20, steps:2700/25432, lr:2.000e-04, loss:8.7899] 
[2020-08-18 23:48:34,403][INFO] [epoch:2/20, steps:2750/25432, lr:2.000e-04, loss:8.3847] 
[2020-08-18 23:48:55,450][INFO] [epoch:2/20, steps:2800/25432, lr:2.000e-04, loss:8.445] 
[2020-08-18 23:49:16,520][INFO] [epoch:2/20, steps:2850/25432, lr:2.000e-04, loss:9.3022] 
[2020-08-18 23:49:37,552][INFO] [epoch:2/20, steps:2900/25432, lr:2.000e-04, loss:9.2984] 
[2020-08-18 23:49:58,086][INFO] [epoch:2/20, steps:2950/25432, lr:2.000e-04, loss:9.566] 
[2020-08-18 23:50:18,570][INFO] [epoch:2/20, steps:3000/25432, lr:2.000e-04, loss:9.6222] 
[2020-08-18 23:50:39,710][INFO] [epoch:2/20, steps:3050/25432, lr:2.000e-04, loss:10.608] 
[2020-08-18 23:51:00,220][INFO] [epoch:2/20, steps:3100/25432, lr:2.000e-04, loss:10.528] 
[2020-08-18 23:51:20,691][INFO] [epoch:2/20, steps:3150/25432, lr:2.000e-04, loss:9.556] 
[2020-08-18 23:51:42,028][INFO] [epoch:2/20, steps:3200/25432, lr:2.000e-04, loss:9.4656] 
[2020-08-18 23:52:02,851][INFO] [epoch:2/20, steps:3250/25432, lr:2.000e-04, loss:9.2545] 
[2020-08-18 23:52:23,366][INFO] [epoch:2/20, steps:3300/25432, lr:2.000e-04, loss:9.1929] 
[2020-08-18 23:52:44,356][INFO] [epoch:2/20, steps:3350/25432, lr:2.000e-04, loss:8.8127] 
[2020-08-18 23:53:04,807][INFO] [epoch:2/20, steps:3400/25432, lr:2.000e-04, loss:8.9158] 
[2020-08-18 23:53:25,252][INFO] [epoch:2/20, steps:3450/25432, lr:2.000e-04, loss:8.7708] 
[2020-08-18 23:53:46,191][INFO] [epoch:2/20, steps:3500/25432, lr:2.000e-04, loss:8.8143] 
[2020-08-18 23:54:06,662][INFO] [epoch:2/20, steps:3550/25432, lr:2.000e-04, loss:9.516] 
[2020-08-18 23:54:27,136][INFO] [epoch:2/20, steps:3600/25432, lr:2.000e-04, loss:9.5601] 
[2020-08-18 23:54:48,222][INFO] [epoch:2/20, steps:3650/25432, lr:2.000e-04, loss:8.4918] 
[2020-08-18 23:55:08,775][INFO] [epoch:2/20, steps:3700/25432, lr:2.000e-04, loss:8.3562] 
[2020-08-18 23:55:29,297][INFO] [epoch:2/20, steps:3750/25432, lr:2.000e-04, loss:9.418] 
[2020-08-18 23:55:50,226][INFO] [epoch:2/20, steps:3800/25432, lr:2.000e-04, loss:9.5173] 
[2020-08-18 23:57:00,337][INFO] [epoch:2 end, mean_acc:0.91629]
[2020-08-18 23:57:00,337][INFO] {'5_o_Clock_Shadow': 0.9373836009462928, 'Arched_Eyebrows': 0.8471334373584336, 'Attractive': 0.8151205516685962, 'Bags_Under_Eyes': 0.8448180399657724, 'Bald': 0.9891780339256053, 'Bangs': 0.9517289978356068, 'Big_Lips': 0.8576533950772638, 'Big_Nose': 0.8321840237579906, 'Black_Hair': 0.9122665727085116, 'Blond_Hair': 0.9479538933910505, 'Blurry': 0.9649166960285901, 'Brown_Hair': 0.8534252780993608, 'Bushy_Eyebrows': 0.9185584134494388, 'Chubby': 0.95283636180601, 'Double_Chin': 0.9647153571248804, 'Eyeglasses': 0.9949665274072582, 'Goatee': 0.9632556500729853, 'Gray_Hair': 0.9776513816882267, 'Heavy_Makeup': 0.921125484471737, 'High_Cheekbones': 0.8745658629888761, 'Male': 0.9846479085921377, 'Mouth_Slightly_Open': 0.9378366134796396, 'Mustache': 0.9584738511098807, 'Narrow_Eyes': 0.9332058186943172, 'No_Beard': 0.9609905874062515, 'Oval_Face': 0.7573866210298486, 'Pale_Skin': 0.9658730558212111, 'Pointy_Nose': 0.772034026274727, 'Receding_Hairline': 0.9454874918206071, 'Rosy_Cheeks': 0.9473498766799214, 'Sideburns': 0.9678361101323804, 'Smiling': 0.9293803795238335, 'Straight_Hair': 0.8519152363215382, 'Wavy_Hair': 0.8611264911662556, 'Wearing_Earrings': 0.9108068656566165, 'Wearing_Hat': 0.9896310464589521, 'Wearing_Lipstick': 0.9319977852720592, 'Wearing_Necklace': 0.887954900085569, 'Wearing_Necktie': 0.9576684954950421, 'Young': 0.8787436452408517}
[2020-08-18 23:57:15,581][INFO] [epoch:3/20, steps:3850/25432, lr:2.000e-04, loss:9.4004] 
[2020-08-18 23:57:36,989][INFO] [epoch:3/20, steps:3900/25432, lr:2.000e-04, loss:9.3348] 
[2020-08-18 23:57:58,608][INFO] [epoch:3/20, steps:3950/25432, lr:2.000e-04, loss:8.6547] 
[2020-08-18 23:58:20,451][INFO] [epoch:3/20, steps:4000/25432, lr:2.000e-04, loss:8.6295] 
[2020-08-18 23:58:42,072][INFO] [epoch:3/20, steps:4050/25432, lr:2.000e-04, loss:9.443] 
[2020-08-18 23:59:02,928][INFO] [epoch:3/20, steps:4100/25432, lr:2.000e-04, loss:9.4804] 
[2020-08-18 23:59:24,075][INFO] [epoch:3/20, steps:4150/25432, lr:2.000e-04, loss:7.3526] 
[2020-08-18 23:59:44,380][INFO] [epoch:3/20, steps:4200/25432, lr:2.000e-04, loss:7.3279] 
[2020-08-19 00:00:04,723][INFO] [epoch:3/20, steps:4250/25432, lr:2.000e-04, loss:8.7041] 
[2020-08-19 00:00:25,429][INFO] [epoch:3/20, steps:4300/25432, lr:2.000e-04, loss:8.6947] 
[2020-08-19 00:00:46,034][INFO] [epoch:3/20, steps:4350/25432, lr:2.000e-04, loss:8.8937] 
[2020-08-19 00:01:06,505][INFO] [epoch:3/20, steps:4400/25432, lr:2.000e-04, loss:8.9613] 
[2020-08-19 00:01:27,325][INFO] [epoch:3/20, steps:4450/25432, lr:2.000e-04, loss:9.7894] 
[2020-08-19 00:01:47,833][INFO] [epoch:3/20, steps:4500/25432, lr:2.000e-04, loss:9.679] 
[2020-08-19 00:02:08,235][INFO] [epoch:3/20, steps:4550/25432, lr:2.000e-04, loss:7.7041] 
[2020-08-19 00:02:28,983][INFO] [epoch:3/20, steps:4600/25432, lr:2.000e-04, loss:7.6574] 
[2020-08-19 00:02:49,393][INFO] [epoch:3/20, steps:4650/25432, lr:2.000e-04, loss:7.1549] 
[2020-08-19 00:03:09,767][INFO] [epoch:3/20, steps:4700/25432, lr:2.000e-04, loss:7.0814] 
[2020-08-19 00:03:30,143][INFO] [epoch:3/20, steps:4750/25432, lr:2.000e-04, loss:8.1907] 
[2020-08-19 00:03:51,158][INFO] [epoch:3/20, steps:4800/25432, lr:2.000e-04, loss:8.2383] 
[2020-08-19 00:04:11,714][INFO] [epoch:3/20, steps:4850/25432, lr:2.000e-04, loss:8.3948] 
[2020-08-19 00:04:32,271][INFO] [epoch:3/20, steps:4900/25432, lr:2.000e-04, loss:8.4738] 
[2020-08-19 00:04:53,815][INFO] [epoch:3/20, steps:4950/25432, lr:2.000e-04, loss:7.3287] 
[2020-08-19 00:05:14,922][INFO] [epoch:3/20, steps:5000/25432, lr:2.000e-04, loss:7.2924] 
[2020-08-19 00:05:35,956][INFO] [epoch:3/20, steps:5050/25432, lr:2.000e-04, loss:8.896] 
[2020-08-19 00:06:56,940][INFO] [epoch:3 end, mean_acc:0.91676]
[2020-08-19 00:06:56,940][INFO] {'5_o_Clock_Shadow': 0.940051341420446, 'Arched_Eyebrows': 0.8556400060401671, 'Attractive': 0.809432727638798, 'Bags_Under_Eyes': 0.8303216388986762, 'Bald': 0.9886746866663311, 'Bangs': 0.9571651482357678, 'Big_Lips': 0.8404389188100871, 'Big_Nose': 0.8314793375950068, 'Black_Hair': 0.904716363819399, 'Blond_Hair': 0.9513766547541148, 'Blurry': 0.9651180349322998, 'Brown_Hair': 0.8549353198771833, 'Bushy_Eyebrows': 0.9213771581013741, 'Chubby': 0.9570141440579856, 'Double_Chin': 0.9655710474656466, 'Eyeglasses': 0.9950168621331856, 'Goatee': 0.9663260683545578, 'Gray_Hair': 0.9783057331252831, 'Heavy_Makeup': 0.9237428902199627, 'High_Cheekbones': 0.8756228922333518, 'Male': 0.986006946192178, 'Mouth_Slightly_Open': 0.9425680777168168, 'Mustache': 0.9628026375396386, 'Narrow_Eyes': 0.9396486636130266, 'No_Beard': 0.9615946041173806, 'Oval_Face': 0.7600543615040016, 'Pale_Skin': 0.9666784114360497, 'Pointy_Nose': 0.7713293401117431, 'Receding_Hairline': 0.9434741027835103, 'Rosy_Cheeks': 0.9492122615392359, 'Sideburns': 0.9711078673176624, 'Smiling': 0.9265616348718981, 'Straight_Hair': 0.8503548598177884, 'Wavy_Hair': 0.8702370765591181, 'Wearing_Earrings': 0.9165953591382695, 'Wearing_Hat': 0.9880203352292747, 'Wearing_Lipstick': 0.9252025972718578, 'Wearing_Necklace': 0.8886092515226255, 'Wearing_Necktie': 0.9600342276136307, 'Young': 0.877938289626013}
[2020-08-19 00:07:02,785][INFO] [epoch:4/20, steps:5100/25432, lr:2.000e-04, loss:8.9575] 
[2020-08-19 00:07:24,002][INFO] [epoch:4/20, steps:5150/25432, lr:2.000e-04, loss:9.1092] 
[2020-08-19 00:07:45,323][INFO] [epoch:4/20, steps:5200/25432, lr:2.000e-04, loss:8.975] 
[2020-08-19 00:08:07,411][INFO] [epoch:4/20, steps:5250/25432, lr:2.000e-04, loss:8.1602] 
[2020-08-19 00:08:28,513][INFO] [epoch:4/20, steps:5300/25432, lr:2.000e-04, loss:8.1709] 
[2020-08-19 00:08:49,687][INFO] [epoch:4/20, steps:5350/25432, lr:2.000e-04, loss:7.2688] 
[2020-08-19 00:09:10,933][INFO] [epoch:4/20, steps:5400/25432, lr:2.000e-04, loss:7.1398] 
[2020-08-19 00:09:32,783][INFO] [epoch:4/20, steps:5450/25432, lr:2.000e-04, loss:8.845] 
[2020-08-19 00:09:54,018][INFO] [epoch:4/20, steps:5500/25432, lr:2.000e-04, loss:8.9177] 
[2020-08-19 00:10:14,934][INFO] [epoch:4/20, steps:5550/25432, lr:2.000e-04, loss:8.3754] 
